,Airline,Source,Destination,Route,Total_Stops,Additional_Info,Price,Month,Dep_Time_day,Duration_in_minutes,Dep_Time_hour,Dep_Time_minute,Arrival_Time_hour,Arrival_Time_minute,Arrival_Time_day
5333,Vistara,Kolkata,Banglore,CCU → DEL → BLR,1,No info,9345,5,15,975,7,10,23,25,20
5334,Air India,Kolkata,Banglore,CCU → MAA → BLR,1,No info,6528,5,6,1485,14,35,15,20,7
5335,Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1,No info,15603,3,3,380,7,0,13,20,20
5338,Jet Airways,Delhi,Cochin,DEL → BOM → COK,1,In-flight meal not included,10577,6,9,1620,16,0,19,0,10
5339,Air India,Delhi,Cochin,DEL → JAI → BOM → COK,2,No info,10651,5,15,1180,12,0,7,40,16
5340,Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1,In-flight meal not included,7594,6,12,875,14,5,4,40,13
5341,Air Asia,Kolkata,Banglore,CCU → BBI → BLR,1,No info,6857,5,1,220,6,50,10,30,20
5343,Jet Airways,Delhi,Cochin,DEL → BHO → BOM → COK,2,In-flight meal not included,13344,6,12,425,5,30,12,35,20
5344,SpiceJet,Banglore,Delhi,BLR → DEL,0,No info,3971,4,27,175,21,10,0,5,28
5346,Jet Airways,Delhi,Cochin,DEL → AMD → BOM → COK,2,In-flight meal not included,6643,3,27,1995,19,10,4,25,29
5347,Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1,No info,15077,3,6,465,11,30,19,15,20
5348,Air India,Banglore,Delhi,BLR → DEL,0,No info,6121,5,1,165,10,0,12,45,20
5349,SpiceJet,Mumbai,Hyderabad,BOM → HYD,0,No info,5755,3,3,80,13,10,14,30,20
5350,Air India,Delhi,Cochin,DEL → MAA → COK,1,No info,4487,4,9,765,20,40,9,25,10
5352,Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1,In-flight meal not included,8586,5,1,520,20,0,4,40,2
5353,Air India,Mumbai,Hyderabad,BOM → HYD,0,No info,3100,6,1,80,6,20,7,40,20
5354,Jet Airways,Mumbai,Hyderabad,BOM → HYD,0,In-flight meal not included,3210,5,9,85,2,55,4,20,20
5355,Jet Airways,Delhi,Cochin,DEL → BOM → COK,1,In-flight meal not included,12373,5,9,1040,19,15,12,35,10
5356,Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1,No info,15135,3,3,730,6,40,18,50,20
5358,SpiceJet,Mumbai,Hyderabad,BOM → HYD,0,No info,2017,6,6,90,13,15,14,45,20
5360,Vistara,Mumbai,Hyderabad,BOM → DEL → HYD,1,No info,12395,3,6,1500,21,55,22,55,7
5362,Jet Airways,Mumbai,Hyderabad,BOM → HYD,0,In-flight meal not included,2228,5,6,90,19,35,21,5,20
5364,Air Asia,Delhi,Cochin,DEL → BLR → COK,1,No info,11410,6,3,830,16,45,6,35,4
5367,Jet Airways,Kolkata,Banglore,CCU → DEL → BLR,1,In-flight meal not included,13469,6,6,690,9,35,21,5,20
5368,IndiGo,Banglore,Delhi,BLR → DEL,0,No info,3943,4,9,180,21,15,0,15,10
5369,Vistara,Banglore,New Delhi,BLR → DEL,0,No info,7608,3,3,175,21,10,0,5,4
5371,Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1,No info,12042,6,1,585,9,15,19,0,20
5373,Air India,Banglore,New Delhi,BLR → VGA → HYD → DEL,2,No info,9586,3,9,655,10,30,21,25,20
5374,SpiceJet,Chennai,Kolkata,MAA → CCU,0,No check-in baggage included,3543,6,1,135,8,20,10,35,20
5375,Jet Airways,Delhi,Cochin,DEL → LKO → BOM → COK,2,No info,13882,6,9,1630,9,25,12,35,10
5377,Air Asia,Kolkata,Banglore,CCU → IXR → DEL → BLR,2,No info,5192,6,12,500,15,10,23,30,20
5379,Jet Airways,Delhi,Cochin,DEL → BOM → COK,1,No info,15554,5,6,825,22,50,12,35,7
5380,Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1,In-flight meal not included,10844,5,21,1285,18,55,16,20,22
5381,IndiGo,Mumbai,Hyderabad,BOM → HYD,0,No info,2754,4,3,90,12,0,13,30,20
5384,IndiGo,Delhi,Cochin,DEL → BOM → COK,1,No info,8330,5,9,895,10,35,1,30,10
5385,Jet Airways,Mumbai,Hyderabad,BOM → HYD,0,No info,5678,3,3,90,19,35,21,5,20
5386,Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,1,In-flight meal not included,11087,3,12,1170,22,55,18,25,13
5387,GoAir,Banglore,New Delhi,BLR → DEL,0,No info,18558,3,1,175,20,55,23,50,20
5388,IndiGo,Mumbai,Hyderabad,BOM → HYD,0,No info,16000,3,1,90,2,30,4,0,20
5389,SpiceJet,Banglore,Delhi,BLR → DEL,0,No check-in baggage included,3573,5,6,175,21,10,0,5,7
5390,Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1,No info,7670,5,15,760,12,50,1,30,16
5392,Vistara,Banglore,Delhi,BLR → DEL,0,No info,4878,5,15,155,17,0,19,35,20
5393,Jet Airways,Delhi,Cochin,DEL → IDR → BOM → COK,2,In-flight meal not included,11507,6,27,1295,21,25,19,0,28
5394,Air Asia,Delhi,Cochin,DEL → BLR → COK,1,No info,8759,6,6,330,7,55,13,25,20
5395,Jet Airways,Delhi,Cochin,DEL → BOM → COK,1,In-flight meal not included,10262,6,12,1530,17,30,19,0,13
5396,Air India,Delhi,Cochin,DEL → HYD → MAA → COK,2,No info,10975,5,21,1580,7,5,9,25,22
5397,Jet Airways,Delhi,Cochin,DEL → BOM → COK,1,In-flight meal not included,10262,6,6,550,19,15,4,25,7
5402,Air India,Delhi,Cochin,DEL → AMD → BOM → COK,2,No info,9968,6,9,1410,19,45,19,15,10
5403,Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1,In-flight meal not included,18260,3,9,640,2,15,12,55,20
5404,IndiGo,Banglore,New Delhi,BLR → DEL,0,No info,8855,3,3,175,18,25,21,20,20
5407,Jet Airways,Kolkata,Banglore,CCU → DEL → BLR,1,No info,13067,5,6,1685,17,0,21,5,7
5408,Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,1,No info,13817,3,12,1070,16,55,10,45,13
5409,Air India,Banglore,New Delhi,BLR → BOM → DEL,1,No info,11602,3,12,990,6,45,23,15,20
5410,Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1,No info,13941,5,9,1545,16,30,18,15,10
5411,Jet Airways,Kolkata,Banglore,CCU → DEL → BLR,1,No info,14151,5,15,1365,20,25,19,10,16
5412,IndiGo,Banglore,Delhi,BLR → DEL,0,No info,3943,5,15,170,4,0,6,50,20
5413,Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1,In-flight meal not included,10844,5,12,705,6,30,18,15,20
5414,SpiceJet,Mumbai,Hyderabad,BOM → HYD,0,No info,2753,6,18,90,5,45,7,15,20
5415,Jet Airways,Delhi,Cochin,DEL → BOM → COK,1,No info,14714,6,12,1005,2,15,19,0,20
5416,Multiple carriers,Delhi,Cochin,DEL → HYD → COK,1,No info,9646,5,18,545,7,5,16,10,20
5417,Jet Airways,Delhi,Cochin,DEL → BOM → COK,1,No info,15554,5,9,330,7,5,12,35,20
5418,Air India,Banglore,New Delhi,BLR → VGA → VTZ → DEL,2,No info,13261,3,18,435,10,30,17,45,20
5420,Jet Airways,Delhi,Cochin,DEL → IDR → BOM → COK,2,In-flight meal not included,11507,6,15,810,5,30,19,0,20
5421,Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1,No info,9424,5,9,390,19,0,1,30,10
5422,GoAir,Banglore,Delhi,BLR → DEL,0,No info,4937,4,12,170,11,40,14,30,20
5423,SpiceJet,Banglore,Delhi,BLR → DEL,0,No check-in baggage included,3257,6,6,175,21,10,0,5,7
5424,IndiGo,Banglore,Delhi,BLR → DEL,0,No info,4823,5,6,170,8,30,11,20,20
5425,IndiGo,Chennai,Kolkata,MAA → CCU,0,No info,5277,5,12,140,22,5,0,25,13
5426,SpiceJet,Kolkata,Banglore,CCU → BLR,0,No info,3873,4,9,150,17,10,19,40,20
5427,Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1,In-flight meal not included,10844,5,24,730,16,30,4,40,25
5428,Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1,No info,7198,5,27,510,17,0,1,30,28
5429,Air India,Delhi,Cochin,DEL → COK,0,No info,6094,5,15,170,5,10,8,0,20
5430,IndiGo,Banglore,Delhi,BLR → DEL,0,No info,3943,5,3,165,6,5,8,50,20
5431,IndiGo,Banglore,Delhi,BLR → DEL,0,No info,3943,5,15,180,21,15,0,15,16
5432,Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1,No info,12681,4,1,960,20,0,12,0,2
5433,Vistara,Banglore,Delhi,BLR → DEL,0,No info,5613,4,15,155,17,0,19,35,20
5435,Jet Airways,Delhi,Cochin,DEL → BOM → COK,1,In-flight meal not included,12898,5,27,1415,13,0,12,35,28
5436,Jet Airways,Delhi,Cochin,DEL → JAI → BOM → COK,2,No info,15129,5,9,1375,5,30,4,25,10
5437,SpiceJet,Chennai,Kolkata,MAA → CCU,0,No info,3911,5,9,135,8,20,10,35,20
5438,IndiGo,Delhi,Cochin,DEL → COK,0,No info,6015,6,12,195,21,5,0,20,13
5440,IndiGo,Delhi,Cochin,DEL → BOM → COK,1,No info,5073,3,27,305,20,30,1,35,28
5443,Jet Airways,Mumbai,Hyderabad,BOM → HYD,0,No info,8040,6,3,90,10,20,11,50,20
5444,Jet Airways,Banglore,Delhi,BLR → DEL,0,No info,7229,4,3,165,6,0,8,45,20
5445,IndiGo,Banglore,Delhi,BLR → DEL,0,No info,3943,6,15,170,13,0,15,50,20
5446,Air India,Banglore,New Delhi,BLR → HBX → BOM → BHO → DEL,3,No info,14195,3,6,685,12,0,23,25,20
5447,Jet Airways,Delhi,Cochin,DEL → IDR → BOM → COK,2,No info,13292,6,15,1130,9,35,4,25,16
5448,IndiGo,Kolkata,Banglore,CCU → BLR,0,No info,4174,4,3,155,11,30,14,5,20
5449,Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,1,No info,16736,3,6,860,7,0,21,20,20
5450,Jet Airways,Banglore,Delhi,BLR → DEL,0,In-flight meal not included,5198,5,12,165,6,0,8,45,20
5451,Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1,No info,15058,6,3,730,7,5,19,15,20
5452,IndiGo,Delhi,Cochin,DEL → BOM → COK,1,No info,5073,4,3,300,10,35,15,35,20
5453,Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1,No info,10197,5,15,660,8,0,19,0,20
5456,Air India,Delhi,Cochin,DEL → JAI → BOM → COK,2,No info,10966,6,1,1180,12,0,7,40,2
5458,Air Asia,Kolkata,Banglore,CCU → BLR,0,No info,3807,4,6,150,22,50,1,20,7
5459,Air India,Banglore,Delhi,BLR → DEL,0,No info,5228,5,6,170,13,20,16,10,20
5460,IndiGo,Chennai,Kolkata,MAA → CCU,0,No info,3597,6,12,140,14,45,17,5,20
5461,Air Asia,Banglore,Delhi,BLR → DEL,0,No info,4483,5,18,165,11,10,13,55,20
5462,Jet Airways,Delhi,Cochin,DEL → BOM → COK,1,In-flight meal not included,10262,6,24,1015,11,30,4,25,25
5463,SpiceJet,Delhi,Cochin,DEL → PNQ → COK,1,No check-in baggage included,5158,6,6,270,8,45,13,15,20
5464,Air India,Banglore,New Delhi,BLR → COK → DEL,1,No info,6010,3,21,1520,22,0,23,20,21
5465,Jet Airways,Delhi,Cochin,DEL → NAG → BOM → COK,2,No info,13376,6,12,1320,14,35,12,35,13
5466,Jet Airways,Delhi,Cochin,DEL → BHO → BOM → COK,2,No info,11543,3,21,1365,5,40,4,25,22
5467,Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1,In-flight meal not included,15342,3,6,560,9,55,19,15,20
5468,SpiceJet,Banglore,New Delhi,BLR → DEL,0,No info,6309,3,15,175,9,35,12,30,20
5471,SpiceJet,Kolkata,Banglore,CCU → BLR,0,No info,3873,6,1,155,6,55,9,30,20
5472,Jet Airways,Delhi,Cochin,DEL → BOM → COK,1,In-flight meal not included,12898,5,27,1270,21,50,19,0,28
5473,IndiGo,Delhi,Cochin,DEL → BOM → COK,1,No info,6979,5,15,500,17,10,1,30,16
5474,Air India,Kolkata,Banglore,CCU → GAU → DEL → BLR,2,No info,13437,5,12,1410,16,45,16,15,13
5475,Jet Airways,Delhi,Cochin,DEL → BOM → COK,1,In-flight meal not included,6017,3,27,1015,11,30,4,25,28
5477,IndiGo,Chennai,Kolkata,MAA → CCU,0,No info,7295,3,6,145,11,35,14,0,20
5478,Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1,No info,13044,6,12,1495,18,55,19,50,13
5479,Jet Airways,Banglore,Delhi,BLR → DEL,0,In-flight meal not included,4030,5,3,175,11,10,14,5,20
5480,Air India,Banglore,New Delhi,BLR → HYD → VGA → DEL,2,No info,13942,3,6,1625,8,15,11,20,7
5481,Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1,No info,14781,5,12,705,6,30,18,15,20
5485,Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1,In-flight meal not included,10844,5,12,345,14,5,19,50,20
5486,Air India,Delhi,Cochin,DEL → BOM → COK,1,No info,8372,6,6,675,8,0,19,15,20
5487,Jet Airways,Delhi,Cochin,DEL → BOM → COK,1,No info,16289,3,9,775,6,50,19,45,20
5488,Air India,Delhi,Cochin,DEL → GOI → BOM → COK,2,No info,11701,5,6,1275,22,0,19,15,7
5490,Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1,No info,9385,5,18,750,13,0,1,30,18
5492,Jet Airways,Banglore,Delhi,BLR → DEL,0,In-flight meal not included,4544,4,9,180,8,20,11,20,20
5493,Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,1,In-flight meal not included,11087,3,12,850,20,35,10,45,13
5494,IndiGo,Kolkata,Banglore,CCU → BLR,0,No info,5224,6,3,155,4,40,7,15,20
5496,Air India,Mumbai,Hyderabad,BOM → MAA → HYD,1,No info,6901,3,12,880,5,55,20,35,20
5498,Vistara,Banglore,Delhi,BLR → DEL,0,No info,5403,4,9,170,21,0,23,50,20
5499,Jet Airways,Delhi,Cochin,DEL → JAI → BOM → COK,2,No info,13014,6,12,810,5,30,19,0,20
5500,Jet Airways,Mumbai,Hyderabad,BOM → HYD,0,In-flight meal not included,4995,5,6,85,7,5,8,30,20
5501,Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1,No info,13941,5,21,1545,6,30,8,15,22
5502,Jet Airways,Delhi,Cochin,DEL → IDR → BOM → COK,2,In-flight meal not included,11507,6,3,1295,21,25,19,0,4
5503,Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1,No info,12192,6,15,660,8,0,19,0,20
5504,Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1,No info,7198,5,27,450,18,0,1,30,28
5506,SpiceJet,Kolkata,Banglore,CCU → BLR,0,No check-in baggage included,3841,4,3,155,6,55,9,30,20
5508,Vistara,Chennai,Kolkata,MAA → CCU,0,No info,11982,6,15,140,17,45,20,5,20
5510,Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,1,No info,16736,3,6,700,20,35,8,15,7
5511,IndiGo,Kolkata,Banglore,CCU → BLR,0,No info,4174,4,15,155,17,15,19,50,20
5513,Jet Airways,Delhi,Cochin,DEL → BOM → COK,1,No info,17024,3,6,1440,19,45,19,45,7
5514,IndiGo,Banglore,Delhi,BLR → DEL,0,No info,3943,5,24,180,21,15,0,15,25
5515,IndiGo,Delhi,Cochin,DEL → HYD → COK,1,No info,6442,6,3,635,11,55,22,30,20
5518,IndiGo,Kolkata,Banglore,CCU → BLR,0,No info,4804,6,18,155,4,40,7,15,20
5519,Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1,No info,13377,6,6,690,14,0,1,30,7
5520,Jet Airways,Banglore,Delhi,BLR → DEL,0,No info,7229,4,1,175,11,10,14,5,20
5521,IndiGo,Banglore,New Delhi,BLR → DEL,0,No info,8855,3,15,170,22,20,1,10,16
5524,Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1,No info,7740,6,3,735,8,45,21,0,20
5525,Air India,Kolkata,Banglore,CCU → GAU → DEL → BLR,2,No info,14960,6,9,1600,9,50,12,30,10
5527,Air India,Mumbai,Hyderabad,BOM → HYD,0,No info,5462,3,6,80,21,5,22,25,20
5528,Jet Airways,Delhi,Cochin,DEL → BOM → COK,1,No info,12347,3,21,1385,19,45,18,50,22
5532,IndiGo,Delhi,Cochin,DEL → MAA → COK,1,No info,10482,3,9,305,2,5,7,10,20
5533,Jet Airways,Delhi,Cochin,DEL → BOM → COK,1,In-flight meal not included,12373,5,18,1015,11,30,4,25,18
5534,Multiple carriers,Delhi,Cochin,DEL → HYD → COK,1,No info,10478,3,3,915,7,5,22,20,20
5535,Jet Airways,Delhi,Cochin,DEL → JAI → BOM → COK,2,In-flight meal not included,13029,5,18,1125,9,40,4,25,18
5536,Air India,Delhi,Cochin,DEL → MAA → COK,1,No info,6482,3,21,1255,12,30,9,25,22
5537,Jet Airways,Delhi,Cochin,DEL → BOM → COK,1,No info,15554,5,18,600,9,0,19,0,20
5538,Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1,No info,11789,6,12,615,8,45,19,0,20
5540,Air India,Kolkata,Banglore,CCU → GAU → BLR,1,No info,7662,6,9,1700,16,45,21,5,10
5541,Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1,No info,7888,5,21,390,19,0,1,30,22
5542,Air Asia,Kolkata,Banglore,CCU → DEL → BLR,1,No info,5192,5,15,955,7,35,23,30,20
5544,Jet Airways,Delhi,Cochin,DEL → BOM → COK,1,In-flight meal not included,12898,5,27,1595,10,0,12,35,28
5547,Air India,Kolkata,Banglore,CCU → GAU → DEL → BLR,2,No info,14330,5,12,1185,16,45,12,30,13
5549,SpiceJet,Kolkata,Banglore,CCU → BLR,0,No info,4622,3,1,160,6,55,9,35,20
5550,Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1,No info,14388,5,9,665,21,10,8,15,10
5552,IndiGo,Kolkata,Banglore,CCU → BLR,0,No info,4804,6,3,150,15,15,17,45,20
5553,Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1,In-flight meal not included,9663,5,9,450,21,10,4,40,10
5554,GoAir,Delhi,Cochin,DEL → AMD → COK,1,No info,5842,5,9,370,7,25,13,35,20
5555,Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1,No info,15603,3,3,510,7,0,15,30,20
5556,IndiGo,Kolkata,Banglore,CCU → BLR,0,No info,5618,3,3,165,22,10,0,55,4
5557,IndiGo,Kolkata,Banglore,CCU → BLR,0,No info,6565,3,3,155,14,20,16,55,20
5558,SpiceJet,Delhi,Cochin,DEL → BLR → COK,1,No info,5221,4,15,295,17,55,22,50,20
5560,Air India,Delhi,Cochin,DEL → MAA → COK,1,No info,7480,6,24,765,20,40,9,25,25
5561,Jet Airways,Delhi,Cochin,DEL → LKO → BOM → COK,2,No info,13882,6,12,1490,11,45,12,35,13
5565,Jet Airways,Kolkata,Banglore,CCU → DEL → BLR,1,No info,12121,5,1,1075,17,0,10,55,2
5568,Jet Airways,Banglore,Delhi,BLR → DEL,0,No info,7229,4,6,180,8,20,11,20,20
5569,Jet Airways,Delhi,Cochin,DEL → BOM → COK,1,In-flight meal not included,10577,6,9,1010,19,45,12,35,10
5571,Jet Airways,Delhi,Cochin,DEL → BOM → COK,1,No info,14714,6,3,360,13,0,19,0,20
5572,Jet Airways,Banglore,Delhi,BLR → DEL,0,In-flight meal not included,7229,6,9,165,6,0,8,45,20
5575,IndiGo,Kolkata,Banglore,CCU → BLR,0,No info,4804,5,12,160,21,25,0,5,13
5576,Air India,Delhi,Cochin,DEL → HYD → MAA → COK,2,No info,9417,5,9,1210,13,15,9,25,10
5577,Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1,In-flight meal not included,10844,5,24,1495,18,55,19,50,25
5578,Jet Airways,Banglore,Delhi,BLR → DEL,0,No info,7229,5,12,180,17,45,20,45,20
5579,Jet Airways,Delhi,Cochin,DEL → BOM → COK,1,In-flight meal not included,15400,3,6,590,9,0,18,50,20
5580,IndiGo,Delhi,Cochin,DEL → BOM → COK,1,No info,6416,6,15,750,8,30,21,0,20
5581,Air India,Banglore,Delhi,BLR → DEL,0,No info,5176,4,3,170,13,20,16,10,20
5582,IndiGo,Delhi,Cochin,DEL → BOM → COK,1,No info,9264,3,21,575,16,0,1,35,22
5583,Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1,No info,13587,6,6,720,9,0,21,0,20
5584,SpiceJet,Chennai,Kolkata,MAA → CCU,0,No info,3597,5,1,135,8,20,10,35,20
5587,IndiGo,Kolkata,Banglore,CCU → BLR,0,No info,4804,6,1,155,20,20,22,55,20
5588,Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1,In-flight meal not included,10844,5,6,590,6,30,16,20,20
5589,Jet Airways,Delhi,Cochin,DEL → BOM → COK,1,No info,14714,6,1,885,21,50,12,35,2
5590,Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1,No info,14571,6,6,730,21,10,9,20,7
5591,Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,1,In-flight meal not included,7832,3,21,1425,11,40,11,25,21
5592,Jet Airways,Kolkata,Banglore,CCU → DEL → BLR,1,No info,11467,4,1,1295,20,25,18,0,2
5593,Jet Airways,Kolkata,Banglore,CCU → DEL → BLR,1,No info,10953,5,9,1075,17,0,10,55,10
5594,IndiGo,Kolkata,Banglore,CCU → BLR,0,No info,4148,3,9,160,20,25,23,5,20
5595,SpiceJet,Kolkata,Banglore,CCU → BLR,0,No info,3873,5,9,145,9,0,11,25,20
5596,IndiGo,Banglore,Delhi,BLR → DEL,0,No info,3943,4,27,170,22,10,1,0,28
5598,Vistara,Mumbai,Hyderabad,BOM → DEL → HYD,1,No info,12080,3,12,850,8,45,22,55,20
5599,Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1,No info,13584,5,9,845,20,0,10,5,10
5600,IndiGo,Delhi,Cochin,DEL → BOM → COK,1,No info,6979,5,6,845,11,25,1,30,7
5601,Air Asia,Banglore,New Delhi,BLR → DEL,0,No info,4482,3,9,165,23,25,2,10,13
5602,IndiGo,Kolkata,Banglore,CCU → NAG → BLR,1,No info,6284,4,1,325,18,5,23,30,20
5604,IndiGo,Delhi,Cochin,DEL → HYD → COK,1,No info,6442,3,9,570,6,40,16,10,20
5605,Jet Airways,Delhi,Cochin,DEL → BOM → COK,1,In-flight meal not included,12373,5,18,520,19,45,4,25,18
5606,Jet Airways,Banglore,New Delhi,BLR → BDQ → DEL,1,No info,11297,3,12,550,5,50,15,0,20
5607,Air India,Kolkata,Banglore,CCU → DEL → COK → BLR,2,No info,14083,5,24,920,10,0,1,20,25
5608,Jet Airways,Delhi,Cochin,DEL → COK,0,In-flight meal not included,7202,6,3,195,11,0,14,15,20
5610,Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1,In-flight meal not included,10844,5,24,1400,18,55,18,15,25
5611,Air India,Banglore,New Delhi,BLR → MAA → DEL,1,No info,5932,3,15,1265,11,50,8,55,16
5613,Jet Airways,Kolkata,Banglore,CCU → DEL → BLR,1,In-flight meal not included,13469,6,6,395,17,0,23,35,20
5614,IndiGo,Mumbai,Hyderabad,BOM → HYD,0,No info,2227,6,15,90,21,20,22,50,20
5615,IndiGo,Delhi,Cochin,DEL → MAA → COK,1,No info,5636,5,15,315,7,15,12,30,20
5616,Multiple carriers,Delhi,Cochin,DEL → IDR → BOM → COK,2,No info,15965,6,6,625,15,5,1,30,7
5617,IndiGo,Delhi,Cochin,DEL → BOM → COK,1,No info,5054,6,24,305,20,25,1,30,25
5619,IndiGo,Banglore,Delhi,BLR → DEL,0,No info,4823,5,1,175,7,10,10,5,20
5620,SpiceJet,Kolkata,Banglore,CCU → KNU → BLR,1,No info,8479,6,12,435,11,35,18,50,20
5621,Vistara,Kolkata,Banglore,CCU → DEL → BLR,1,No info,8452,5,15,930,7,10,22,40,20
5622,Jet Airways,Delhi,Cochin,DEL → BOM → COK,1,No info,14924,6,3,660,8,0,19,0,20
5623,Air India,Delhi,Cochin,DEL → AMD → BOM → COK,2,No info,10441,6,3,1410,19,45,19,15,4
5625,Jet Airways,Banglore,Delhi,BLR → DEL,0,In-flight meal not included,6478,6,6,180,8,20,11,20,20
5626,Jet Airways,Delhi,Cochin,DEL → AMD → BOM → COK,2,No info,15129,5,27,1775,13,25,19,0,28
5627,IndiGo,Kolkata,Banglore,CCU → HYD → BLR,1,No info,3809,5,1,265,19,20,23,45,20
5629,IndiGo,Kolkata,Banglore,CCU → BLR,0,No info,5224,6,9,155,22,15,0,50,10
5630,IndiGo,Delhi,Cochin,DEL → BOM → COK,1,No info,8330,5,9,500,17,10,1,30,10
5631,Air India,Banglore,Delhi,BLR → DEL,0,No info,6961,6,9,165,10,0,12,45,20
5632,Jet Airways,Delhi,Cochin,DEL → BOM → COK,1,In-flight meal not included,10262,6,9,660,8,0,19,0,20
5634,Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1,No info,13727,5,18,630,15,0,1,30,18
5636,Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,1,In-flight meal not included,11087,3,12,810,22,55,12,25,13
5637,Air Asia,Banglore,Delhi,BLR → DEL,0,No info,3383,4,6,170,23,55,2,45,7
5638,Jet Airways,Delhi,Cochin,DEL → BOM → COK,1,No info,12557,3,21,1520,17,30,18,50,22
5639,Jet Airways,Delhi,Cochin,DEL → IXC → BOM → COK,2,In-flight meal not included,8273,3,21,1325,6,20,4,25,22
5640,Air India,Mumbai,Hyderabad,BOM → RPR → VTZ → HYD,2,No info,9736,3,12,545,10,5,19,10,20
5641,Jet Airways,Delhi,Cochin,DEL → BOM → COK,1,In-flight meal not included,10262,6,24,1530,17,30,19,0,25
5642,Jet Airways,Delhi,Cochin,DEL → IDR → BOM → COK,2,No info,11664,4,9,810,5,30,19,0,20
5643,IndiGo,Banglore,Delhi,BLR → DEL,0,No info,4591,5,1,170,23,30,2,20,2
5644,Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,1,In-flight meal not included,13502,3,18,305,14,5,19,10,20
5648,IndiGo,Delhi,Cochin,DEL → HYD → COK,1,No info,5298,4,6,320,6,50,12,10,20
5649,Jet Airways,Delhi,Cochin,DEL → BOM → COK,1,No info,15764,3,9,1050,2,15,19,45,20
5650,Air Asia,Delhi,Cochin,DEL → BLR → COK,1,No info,6253,6,15,870,7,55,22,25,20
5651,Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1,In-flight meal not included,8586,5,18,375,5,45,12,0,20
5652,Jet Airways,Delhi,Cochin,DEL → IXC → BOM → COK,2,No info,12273,3,27,1325,6,20,4,25,28
5653,IndiGo,Mumbai,Hyderabad,BOM → HYD,0,No info,2227,5,15,90,21,20,22,50,20
5654,Jet Airways,Banglore,Delhi,BLR → DEL,0,In-flight meal not included,5769,6,12,180,19,50,22,50,20
5655,Vistara,Delhi,Cochin,DEL → COK,0,No info,6216,4,18,190,14,40,17,50,20
5656,IndiGo,Delhi,Cochin,DEL → BLR → COK,1,No info,6386,6,3,345,2,0,7,45,20
5657,Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1,No info,16108,6,1,555,10,0,19,15,20
5658,SpiceJet,Kolkata,Banglore,CCU → BLR,0,No info,3873,5,24,140,22,20,0,40,25
5659,IndiGo,Delhi,Cochin,DEL → BOM → COK,1,No info,6270,4,9,895,10,35,1,30,10
5660,Air India,Banglore,Delhi,BLR → DEL,0,No info,5911,4,12,170,21,5,23,55,20
5661,Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1,No info,15077,3,6,605,9,10,19,15,20
